step,loss,params,config,heads,layers,hidden,intermediate,high_layers,compress
4020000,1.3981,4605184,8_10_256_256,8,10,256,256,False,True
4040000,1.3983,4605184,8_10_256_256,8,10,256,256,False,True
4060000,1.3982,4605184,8_10_256_256,8,10,256,256,False,True
4080000,1.3986,4605184,8_10_256_256,8,10,256,256,False,True
4100000,1.3978,4605184,8_10_256_256,8,10,256,256,False,True
4120000,1.3987,4605184,8_10_256_256,8,10,256,256,False,True
4140000,1.3985,4605184,8_10_256_256,8,10,256,256,False,True
4160000,1.3992,4605184,8_10_256_256,8,10,256,256,False,True
4180000,1.398,4605184,8_10_256_256,8,10,256,256,False,True
4200000,1.3985,4605184,8_10_256_256,8,10,256,256,False,True
4220000,1.3965,4605184,8_10_256_256,8,10,256,256,False,True
4240000,1.3968,4605184,8_10_256_256,8,10,256,256,False,True
4260000,1.397,4605184,8_10_256_256,8,10,256,256,False,True
4280000,1.3959,4605184,8_10_256_256,8,10,256,256,False,True
4300000,1.3967,4605184,8_10_256_256,8,10,256,256,False,True
4320000,1.3957,4605184,8_10_256_256,8,10,256,256,False,True
4340000,1.3971,4605184,8_10_256_256,8,10,256,256,False,True
4360000,1.397,4605184,8_10_256_256,8,10,256,256,False,True
4380000,1.3962,4605184,8_10_256_256,8,10,256,256,False,True
4400000,1.3965,4605184,8_10_256_256,8,10,256,256,False,True
4420000,1.397,4605184,8_10_256_256,8,10,256,256,False,True
4440000,1.3955,4605184,8_10_256_256,8,10,256,256,False,True
4460000,1.3954,4605184,8_10_256_256,8,10,256,256,False,True
4480000,1.3972,4605184,8_10_256_256,8,10,256,256,False,True
4500000,1.3964,4605184,8_10_256_256,8,10,256,256,False,True
4520000,1.3946,4605184,8_10_256_256,8,10,256,256,False,True
4540000,1.396,4605184,8_10_256_256,8,10,256,256,False,True
4560000,1.3963,4605184,8_10_256_256,8,10,256,256,False,True
4580000,1.3964,4605184,8_10_256_256,8,10,256,256,False,True
4600000,1.3944,4605184,8_10_256_256,8,10,256,256,False,True
4620000,1.3956,4605184,8_10_256_256,8,10,256,256,False,True
4640000,1.3955,4605184,8_10_256_256,8,10,256,256,False,True
4660000,1.395,4605184,8_10_256_256,8,10,256,256,False,True
4680000,1.3953,4605184,8_10_256_256,8,10,256,256,False,True
4700000,1.3953,4605184,8_10_256_256,8,10,256,256,False,True
4720000,1.3946,4605184,8_10_256_256,8,10,256,256,False,True
4740000,1.394,4605184,8_10_256_256,8,10,256,256,False,True
4760000,1.395,4605184,8_10_256_256,8,10,256,256,False,True
4780000,1.3944,4605184,8_10_256_256,8,10,256,256,False,True
4800000,1.3944,4605184,8_10_256_256,8,10,256,256,False,True
4820000,1.3927,4605184,8_10_256_256,8,10,256,256,False,True
4840000,1.3917,4605184,8_10_256_256,8,10,256,256,False,True
4860000,1.3926,4605184,8_10_256_256,8,10,256,256,False,True
4880000,1.3917,4605184,8_10_256_256,8,10,256,256,False,True
4900000,1.3928,4605184,8_10_256_256,8,10,256,256,False,True
4920000,1.3925,4605184,8_10_256_256,8,10,256,256,False,True
4940000,1.392,4605184,8_10_256_256,8,10,256,256,False,True
4960000,1.3919,4605184,8_10_256_256,8,10,256,256,False,True
4980000,1.3913,4605184,8_10_256_256,8,10,256,256,False,True
5000000,1.3929,4605184,8_10_256_256,8,10,256,256,False,True
5020000,1.391,4605184,8_10_256_256,8,10,256,256,False,True
5040000,1.3912,4605184,8_10_256_256,8,10,256,256,False,True
5060000,1.3907,4605184,8_10_256_256,8,10,256,256,False,True
5080000,1.3916,4605184,8_10_256_256,8,10,256,256,False,True
5100000,1.3912,4605184,8_10_256_256,8,10,256,256,False,True
5120000,1.3914,4605184,8_10_256_256,8,10,256,256,False,True
5140000,1.3915,4605184,8_10_256_256,8,10,256,256,False,True
5160000,1.3901,4605184,8_10_256_256,8,10,256,256,False,True
5180000,1.3898,4605184,8_10_256_256,8,10,256,256,False,True
5200000,1.3903,4605184,8_10_256_256,8,10,256,256,False,True
5220000,1.3895,4605184,8_10_256_256,8,10,256,256,False,True
5240000,1.3892,4605184,8_10_256_256,8,10,256,256,False,True
5260000,1.3887,4605184,8_10_256_256,8,10,256,256,False,True
5280000,1.3892,4605184,8_10_256_256,8,10,256,256,False,True
5300000,1.3888,4605184,8_10_256_256,8,10,256,256,False,True
5320000,1.3893,4605184,8_10_256_256,8,10,256,256,False,True
5340000,1.389,4605184,8_10_256_256,8,10,256,256,False,True
5360000,1.3899,4605184,8_10_256_256,8,10,256,256,False,True
5380000,1.3889,4605184,8_10_256_256,8,10,256,256,False,True
5400000,1.3891,4605184,8_10_256_256,8,10,256,256,False,True
5420000,1.388,4605184,8_10_256_256,8,10,256,256,False,True
20000,2.0366,4344064,4_12_256_128,4,12,256,128,False,True
40000,1.8104,4344064,4_12_256_128,4,12,256,128,False,True
60000,1.7432,4344064,4_12_256_128,4,12,256,128,False,True
80000,1.7009,4344064,4_12_256_128,4,12,256,128,False,True
100000,1.6717,4344064,4_12_256_128,4,12,256,128,False,True
120000,1.6489,4344064,4_12_256_128,4,12,256,128,False,True
140000,1.6322,4344064,4_12_256_128,4,12,256,128,False,True
160000,1.6181,4344064,4_12_256_128,4,12,256,128,False,True
180000,1.607,4344064,4_12_256_128,4,12,256,128,False,True
200000,1.5965,4344064,4_12_256_128,4,12,256,128,False,True
